Transaction Date, Details                           , Amount in US dollars, Reference Number, Country                                            , Address                           , Discription
2024-05-15      , "Campbell, Harris and Camacho"    , -8662.47            , 022958282       , Slovakia (Slovak Republic)                         , 4701 Jessica Island               , benchmark world-class functionalities
2024-04-28      , Peterson-Smith                    , -5334.85            , 049729012       , Angola                                             , 8198 Andrew Highway Apt. 441      , iterate 24/7 schemas
2024-04-21      , Scott-Villarreal                  , -3670.64            , 114875354       , Serbia                                             , 164 Elizabeth Lodge               , syndicate killer models
2024-04-30      , Ryan Inc                          , -2066.82            , 099198680       , Montenegro                                         , 505 Taylor Loaf                   , strategize efficient systems
2024-04-28      , "Wells, Young and Hernandez"      , -3556.43            , 103184768       , Cote d'Ivoire                                      , 41097 Sarah Divide Suite 427      , morph compelling architectures
2024-04-22      , Quinn Group                       , -7374.8             , 034824935       , Palau                                              , 817 Brooke Radial                 , extend B2B interfaces
2024-04-21      , "Sanchez, Morrison and Gallagher" , -6305.24            , 058138173       , United States of America                           , 3547 Angela Bridge Suite 999      , drive clicks-and-mortar portals
2024-04-19      , "Wheeler, Freeman and Martin"     , -2069.6             , 034173330       , Uruguay                                            , 026 Matthew Stream                , harness one-to-one relationships
2024-04-25      , "Hayden, Mitchell and Harris"     , -5927.9             , 129721600       , Czech Republic                                     , 06153 Brown Islands               , deliver B2B e-commerce
2024-05-15      , Phillips-Mitchell                 , 2162.76             , 051721464       , Mayotte                                            , 3309 Schroeder Point Apt. 295     , embrace efficient e-commerce
2024-04-30      , Bailey Ltd                        , 901.22              , 103874117       , Turkey                                             , 491 David Ridge Apt. 855          , brand innovative networks
2024-04-21      , "Mcmillan, Bradley and Gonzales"  , 3568.28             , 036909625       , Kyrgyz Republic                                    , 05572 Roberts Street              , embrace magnetic channels
2024-05-01      , Wyatt LLC                         , -9191.56            , 026118963       , Malta                                              , 9245 Washington Port              , redefine collaborative schemas
